kind	id	status	source	evidence_or_required_work
library	hash-file-length-admission	bounded	libclamav/crypto.c	cl_hash_file_fd_ex() now honors its documented zero-length whole-file mode, rejects an offset beyond the file, and returns CL_EREAD instead of finalizing after an early EOF for a nonzero requested range; the registered regression covers full-file hashing, short input, and out-of-range offsets, while complete hash-helper callers, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and final release qualification remain required
library	signature-database-api-admission	bounded	libclamav/readdb.c	Public cl_load() rejects missing path, engine, and signature-count output arguments with CL_ENULLARG before filesystem or database access; the registered current API regression covers all three null states, while complete signature-database, production-CVD/service, sanitizer, materialized-large-file, Sonic1, and final release qualification remain required
library	matcher-pattern-length-admission	bounded	libclamav/matcher-ac.c	AC and BM body-signature loading in matcher-ac.c and readdb.c rejects base or expanded pattern lengths beyond the matcher ABI's 16-bit fields before publishing truncated records; the registered current matcher regression rejects an oversized simple body pattern without changing the root maximum, while complete production signature-database, sanitizer, materialized-large-file, Sonic1, and final release qualification remain required
library	iso-descriptor-boundary	bounded	libclamav/iso9660.c	ISO-9660 admission requires the next volume-descriptor identifier at the exact fixed 2048-byte boundary instead of searching arbitrary bytes and deriving attacker-controlled sector geometry; the current-source production-linked GCC regression accepts an aligned terminator and rejects a one-byte-shifted marker with CL_EPARSE, sticky incomplete state, and a non-cacheable fmap, and the matching GCC ASan/UBSan runner is clean; complete ISO corpus, materialized large-file, production-CVD/service, Sonic1, and final release qualification remain required
library	riff-size-promotion	bounded	libclamav/special.c	RIFF container-end arithmetic promotes the 32-bit size field before adding the fixed eight-byte header, preserving a valid 4-GiB boundary on 64-bit maps; the sparse current-source production-linked GCC regression reaches the terminal chunk without wrapping, and the matching GCC ASan/UBSan runner is clean; complete RIFF corpus, materialized large-file, production-CVD/service, Sonic1, and final release qualification remain required
library	yara-arena-admission	pending	libclamav/yara_arena.c	Bundled YARA arena creation rejects zero-sized pages, struct allocation clears its output pointer and avoids touching caller storage after reservation failure, page growth stops on native-size doubling overflow, and coalescing checks page usage, total-size accumulation, and int32 relocation representability before allocating or mutating the arena; test_yara_arena_struct_failure_is_fail_visible covers the zero-page and failed-struct contract, and a disposable current-source GCC arena oracle passes the failure and multi-page coalescing cases under normal and AddressSanitizer/UndefinedBehaviorSanitizer builds; complete YARA corpus, production-CVD/service, materialized large-file, Sonic1, and final release qualification remain required
library	clamd-admission-measurements	pending	clamd/largefile_admission.c	Large-file daemon admission now treats fclose() failure as a failed measurement for cgroup membership, cgroup mount information, cgroup limit/current files, and Linux MemAvailable instead of accepting a partially verified startup budget; the Linux fixture regression injects close failure through the existing cgroup-headroom path and the current-source GCC plus ASan/UBSan focused runners pass, while full clamd build/current-object, production-CVD/service, Sonic1 resource measurement, and release qualification remain required
library	hfsplus-compressed-resource-map	pending	libclamav/hfsplus.c	HFS+ decmpfs resource discovery honors the declared type-list and per-type reference-list offsets; materialized map/data extents, resource extents, and compressed block-table ranges are bounded before seeking or decoding; initialized zlib streams are finalized on all failure exits; the inline decmpfs decoder-init boundary now has a registered fault-injected CL_EMEM regression with exact incomplete/cache-taint assertions; the registered declared-offset regression and disposable current-source resource-map oracle pass under production GCC, while the matching GCC ASan/UBSan oracle is clean; focused compressed-resource corpus, production-CVD/service, materialized-large-file, Sonic1, and final release qualification remain required
library	yara-instruction-stream-admission	pending	libclamav/matcher.c	Bundled YARA compilation now records an exact per-rule code length, rejects non-contiguous arena spill, and enforces the contiguous 64 KiB code-page ceiling; matcher admission validates every opcode, fixed-width operand, jump target and instruction boundary, and terminal OP_HALT before VM execution, returning CL_EPARSE with sticky incomplete/non-cacheable state for missing, unknown, truncated, out-of-range, operand-interior, post-halt, or no-halt streams; test_yara_missing_code_is_fail_visible, test_yara_truncated_instruction_is_fail_visible, and test_yara_jump_target_is_fail_visible cover the admission boundaries; the isolated current-source production-linked GCC YARA TCase passes 15/15 including valid execution, read/status propagation, resource/deadline behavior, and VM faults; full YARA corpus, sanitizer, production-CVD/service, materialized large-file, Sonic1, and release qualification remain required
library	partition-intersection-overlap	bounded	libclamav/partition_intersection.c	APM, GPT, and MBR interval checks compare ordered start distances with opposing sizes instead of adding attacker-controlled coordinates; focused GCC object evidence passes both large-coordinate overlap directions and reports CL_VIRUS; parser-family, sanitizer, materialized large-file, production-CVD/service, Sonic1, and release qualification remain required
library	cpio-name-termination	bounded	libclamav/cpio.c	Old-binary, ODC, NEWC, and CRC CPIO member names now require a readable NUL terminator at the declared final byte before padding or payload traversal; missing terminators are incomplete CL_EPARSE results, in-range callback failures preserve CL_EREAD, and the current-source public-API regression covers all four forms with clean-verdict reset and non-cacheability; complete parser-family qualification remains required
library	tar-map	pending	libclamav/untar.c	The direct TAR parser entry now returns CL_ENULLARG for a null context or for a valid map with no output directory; a recognized context without an input fmap returns CL_EPARSE, marks the layer incomplete, records TAR input map is unavailable, and remains non-cacheable; TAR temporary-output close/unlink failures now use the shared cleanup-status precedence helper so CL_EWRITE/CL_EUNLINK remain fail-visible, CL_BREAK is upgraded, and detections or earlier parser errors are preserved; EOF after a staged member now closes/unlinks the temporary output and releases its reservation before the missing-end-marker result, while in-range or end-of-map member-data read failures cannot be replaced with fabricated zero bytes and fmap coordinate advances are checked for overflow; the current-source production-linked GCC tar_map case passes 2/2 including the direct output-directory check and tar_member passes 7/7 including the in-range and end-of-map member-data read-failure regressions, and test_tar_eof_releases_member_resources plus a focused current-source production-linked GCC harness cover EOF cleanup; full TAR corpus, sanitizer, production-CVD/service, materialized large-file, Sonic1, and release qualification remain required
library	hwp3-context	pending	libclamav/hwp.c	The direct HWP3 parser entry now returns CL_ENULLARG for a null context, missing engine, or missing scan options and reserves CL_EPARSE plus sticky incomplete state for a recognized context without an input fmap; HWP3 header, document-info, summary, information-block, font-count, style-count, and paragraph-count metadata records now propagate cli_json* failures as sticky non-cacheable incomplete results; HWP/HWPML decoded temporary-output close/unlink failures now use the shared cleanup-status precedence helper so CL_EWRITE/CL_EUNLINK remain fail-visible, CL_BREAK is upgraded, and detections or earlier parser errors are preserved; the isolated current-source production-linked GCC hwp3_map case passes 3/3 for those entry states; hwp3_api passes 1/1 and hwp3_corpus passes 1/1; the isolated current-source production-linked GCC hwp_fontmeta_isolated fixture passes 2/2 for FontCounts allocation and document-info record failures, preserving CL_EMEM, exact sticky reasons, and non-cacheability; full HWP3 corpus, sanitizer, production-CVD/service, Sonic1, and release qualification remain required
library	elf-unpack-entry	pending	libclamav/elf.c	The exported ELF unpack helper now rejects null context or engine with CL_ENULLARG and rejects a recognized context without an input fmap with CL_EPARSE plus sticky incomplete state before the bytecode hook; bytecode unpacker context allocation failure now has initialized cleanup state and returns CL_EMEM with sticky incomplete/non-cacheable results; ELF unpacked-output close/unlink cleanup now uses the shared cleanup-status precedence helper so CL_EWRITE/CL_EUNLINK remain fail-visible, CL_BREAK is upgraded, and detections or earlier parser errors are preserved; the current-source production-linked GCC elf_map regression covers all three entry states, while the static Linux fault-injected context-allocation regression is registered and source-guarded; full ELF unpacker/corpus, sanitizer, production-CVD/service, Sonic1, and release qualification remain required
library	macho-unpack-entry	pending	libclamav/macho.c	The exported Mach-O unpack helper now rejects null context or engine with CL_ENULLARG and rejects a recognized context without an input fmap with CL_EPARSE plus sticky incomplete state before the bytecode hook; the current-source production-linked GCC macho_map regression covers all three entry states; full Mach-O corpus, sanitizer, production-CVD/service, Sonic1, and release qualification remain required
library	path	bounded	libclamav/scanners.c	checked root/type-detection, embedded-match offsets, and nested preflight before child-map creation; every non-empty root and child, including inputs shorter than the historical five-byte shortcut, reaches the raw matcher; structured report remains covered by the scan API
library	filetype-signature-range	bounded	libclamav/filetypes.c	file and partition magic probes use subtraction-based range preflight, so fixed-width offset plus length cannot wrap before pointer formation; test_filetype_signature_ranges_do_not_wrap covers a UINT32_MAX offset in both tables; the current source and unit translation unit compile with production GCC, a current-source production-linked GCC harness passes the expected non-match and CL_TYPE_PART_ANY results, and an ASan/UBSan harness passes without a finding; complete type-database/dispatch, production-CVD/service, materialized large-file, Sonic1, and parser-family/release qualification remain required
library	containment-macros	bounded	libclamav/others.h	CLI_ISCONTAINED, CLI_ISCONTAINED_0_TO, CLI_ISCONTAINED_2, and CLI_ISCONTAINED_2_0_TO now compare offsets against the remaining size instead of adding coordinates before validation; test_containment_macros_reject_coordinate_wrap covers valid near-limit ranges and rejects wrapped near-SIZE_MAX ranges; the current unit source compiles with production GCC and a current-source GCC plus ASan/UBSan header harness passes all four assertions; complete parser/matcher consumers, production-CVD/service, materialized large-file, Sonic1, and release qualification remain required
library	fd	bounded	libclamav/scanners.c	checked root/type-detection, embedded-match offsets, and nested preflight before child-map creation; null child-descriptor contexts return CL_ENULLARG before fstat; every non-empty root and child, including inputs shorter than the historical five-byte shortcut, reaches the raw matcher; structured report remains covered by the scan API
library	fmap	bounded	libclamav_rust/src/fmap.rs	checked source offsets, map boundaries, nested-range admission, and type-detection/forced-staging read failures; Rust FMap::need_off preflights native-size ranges before callback or slice formation and distinguishes in-range callback failure from out-of-range input; context-aware FMapReader reads/seeks honor the shared deadline and preserve CL_ETIMEOUT; FMapReader now converts native map lengths and read windows to 64-bit coordinates with checked conversions, including SeekFrom::End, instead of narrowing casts; operational nested reads return CL_EREAD; current_fmap rejects a missing or zero-length recursion stack and an out-of-range recursion level before raw-pointer slicing/indexing; ALZ, LHA/LZH, and OneNote preserve null-context, malformed-layer, and in-range fmap-read status classes at the Rust parser boundary; fmap_dump_to_file rejects a nonzero unread remainder with CL_EREAD and removes the partial staged file, with the injected current-source production-linked GCC fmap_dump_read_failure fixture passing 1/1; every non-empty map reaches the raw matcher; structured report is covered by the scan API
library	io	bounded	libclamav/others_common.c	shared cli_writen stops zero-byte write progress and returns the completed prefix instead of looping forever; cli_filecopy now propagates source-read, short/zero-byte-write, and close failures instead of publishing a truncated copy as successful; EINTR and short writes remain handled by the common writer; compiled fault injection and production qualification remain required
library	callback	bounded	libclamav/others.c	modern scan-layer callbacks preserve unexpected CL_E* returns as incomplete, non-cacheable results; the virus-found callback boundary now rejects a missing owning engine with CL_ENULLARG before callback dispatch; virus-indicator append APIs reject null contexts, names, and invalid recursion-stack state before string or stack access; pre-hash, pre-scan, and post-scan paths are covered by the public scan-map regression; requested keeptmp metadata JSON write and close failures now return CL_EWRITE with a sticky incomplete report and non-cacheable fmap, covered by the isolated current-source production-linked metadata_json case at 1/1
library	rust-utility-ffi-admission	pending	libclamav_rust/src/util.rs	Rust cleanup FFI now reports invalid glob patterns as FFIError results instead of panicking across the C boundary; glob_rm() and mkdir_w32() route null or invalid UTF-8 paths through the supplied error output, with focused regressions for invalid patterns and null directory paths plus source guards; current Rust/C ABI execution, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
library	rust-codesign-ffi-admission	pending	libclamav_rust/src/codesign.rs	Rust signing and verification FFI now reject a null certificate-path array before forming a raw slice, handle a zero-length null array without undefined pointer construction, reject null verifier handles and error outputs before validation, require the exact clamsign-1.0 header, and convert malformed signature metadata, invalid intermediate paths, or signer names into FFIError results instead of panicking; focused malformed-header and null-error-output regressions plus source guards cover the boundaries, while current Rust/C ABI execution, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
library	rust-cvd-cstring-admission	pending	libclamav_rust/src/cvd.rs	Rust CVD signer, name, and builder conversions now handle interior-NUL data as explicit verification errors or null getter results instead of panicking across the C ABI; checked SystemTime construction rejects extreme creation seconds during header parsing, and the time getter returns a zero sentinel for an internally pre-epoch value; focused timestamp-overflow and pre-epoch getter regressions plus source guards cover the conversions, while current Rust/C ABI execution, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
library	rust-logging-cstring-admission	pending	libclamav_rust/src/logging.rs	Rust logging sanitizes interior NUL characters before passing formatted messages to C logging functions and retains a non-panicking fallback; the focused unit regression and source guards cover the boundary, while current Rust/C ABI execution, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
library	cdiff-ffi-admission	pending	libclamav_rust/src/cdiff.rs	Freshclam and sigtool CDIFF FFI now reject null verifier handles before Box::from_raw(), convert invalid path and missing-command remainders into structured errors, bound signed-footer and hash coordinates, return signing-service failures instead of asserting, free the C-owned signing result, and convert temporary-file flush failures into processing errors; focused Rust regressions and source guards cover these boundaries, while current Rust/C ABI execution, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
library	rust-evidence-ffi-admission	pending	libclamav_rust/src/evidence.rs	Rust evidence query and mutation FFI now return safe empty/false results for null query handles, reject null mutation handles before Box::from_raw(), and reject null error outputs before error reporting; focused null-handle regressions and source guards cover verdict, alert, indicator, add, and remove entry points, while current Rust/C ABI execution, sanitizer, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
matcher	rust-fuzzy-image-ffi-admission	unsupported	libclamav_rust/src/fuzzy_hash.rs	The deliberately unsupported image-fuzzy matcher now rejects null hashmap, matcher-data, and error-output pointers before raw conversion or error reporting; focused null-state regressions and source guards prove fail-closed API behavior, while image-fuzzy execution remains outside the release capability claim
library	production-cvd-ingress	pending	libclamav/cvd.c	CVD/CLD/CUD TAR loading now preserves archive read and seek failures, rejects incomplete end-of-archive blocks and unconsumed database members, and propagates gzip/file close failures instead of returning clean database-load success; the canonical source passes the production warning-enabled GCC syntax check, while isolated current-source production-linked CVD load/unpack execution and production-CVD/service, sanitizer, materialized large-file, and Sonic1 qualification remain required
library	production-cvd-api-boundary	pending	libclamav/cvd.c	CVD public parse/free/header, verify, unpack, and age helpers now reject null arguments, require the complete 512-byte header, preserve header read failures, and keep header close failures fail-visible instead of exposing partial metadata; directory read and close failures from cl_cvdgetage now return CL_EREAD instead of being treated as successful directory completion; the internal CVD loader also rejects missing engine or filename state before dereference; raw Rust CVD FFI entry points in libclamav_rust/src/cvd.rs now reject missing error/output pointers and null CVD handles without unwinding or dereferencing them, while null raw getters return safe sentinel values; Rust CVD unpacking now propagates archive entry, path, non-file-entry, and destination write failures instead of logging them and returning success; test_cvd_api_rejects_null_arguments, test_cvd_directory_readdir_failure_is_fail_visible, and test_cvd_directory_close_failure_is_fail_visible cover the C boundaries, while the Rust ffi_null_arguments_are_fail_visible and unpack_to_propagates_archive_entry_failures regressions cover the raw and unpack boundaries; the isolated current-source production-linked GCC cvd_api_nulls case passes 1/1, the isolated current-source production-linked GCC cvd_header_fixture case parses the repository test-5.cvd fixture with 1/1 checks, and a focused current-source GCC cvd_readdir_failure runner passes under normal and AddressSanitizer/UndefinedBehaviorSanitizer builds; current-object execution, production-CVD/service, materialized large-file, and Sonic1 qualification remain required
library	descriptor-scan-boundary	pending	libclamav/scanners.c	Descriptor child-scan entry now rejects a context without an engine before logging or dereferencing engine state, marks an available parent map incomplete/non-cacheable, and returns CL_ENULLARG; known-size descriptor roots that exceed the native fmap size range now return CL_ERESOURCE before fmap creation when off_t is wider than size_t; public cl_scanmap_ex2() and cl_scandesc_ex2() clear caller report outputs before report allocation so CL_EMEM cannot leave stale report pointers published, with an injected calloc regression covering both APIs; a focused missing-engine regression is registered and the new source guard pins the representability boundary, while a source-consistent full scanner build, current-object execution, full ingress parity, production-CVD/service, sanitizer, materialized large file, and Sonic1 qualification remain required
library	mspack-output-close	pending	libclamav/libmspack.c	CAB and CHM decoder output fclose failures now travel through the decoder callback state and return CL_EWRITE/incomplete results without hiding earlier timeout, read, parser, or detection statuses; the current-source production-linked GCC regression passes both CAB and CHM corpus close-failure paths, and the canonical source plus registered unit regression pass the production warning-enabled GCC syntax check; complete corpus, sanitizer, certified Linux x86-64, materialized large-file, production-CVD/service, Sonic1, and release qualification remain required
library	crypto-keyfile-close	pending	libclamav/crypto.c	X.509, private-key, and CRL PEM file readers now treat a successful parse followed by fclose failure as a failed verification/load operation and release the parsed object; the current-source production-linked GCC regression injects close failure through cl_get_pkey_file() and cl_sign_data_keyfile(), then verifies normal key loading and signing; the canonical crypto and unit sources pass warning-enabled GCC syntax checks, while certificate/CRL close-failure coverage and production CVD/service, sanitizer, certified Linux x86-64, materialized large-file, Sonic1, and release qualification remain required
library	crypto-certificate-directory	pending	libclamav/crypto.c	Trust-store directory certificate-chain admission now rejects null paths, distinguishes readdir() I/O failure from ordinary end-of-directory, checks trust-store path and authority-array arithmetic before allocation, and treats closedir() failure as an invalid result while releasing all collected authority paths; the registered current-source regression covers clean, enumeration-failure, and close-failure paths, and isolated production-GCC plus ASan/UBSan runners pass; valid certificate-chain corpus, current-object, production-CVD/service, materialized-large-file, Sonic1, and release qualification remain required
library	signature-database-close	pending	libclamav/readdb.c	plain signature-file loading and public cl_countsigs() now reject null paths, stop line-based counting on the actual fgetc result, preserve FILE and directory read/close failures as CL_EREAD, reject unsigned public-count overflow across line entries, CVD/CUD totals, and CBC entries as CL_ERESOURCE without publishing a wrapped count, and never add a partial count after a failed file stream; public cl_statinidir() and cl_statchkdir() now reject null or unrepresentable setup state, preserve directory enumeration and close failures, reject failed database-file stat calls before consuming stat fields, and return CL_EREAD rather than hiding cleanup failure after a detected change; the current-source production-link fault-injection case covers signature-file read/close and directory read/close failures, the registered directory-stat regression covers null arguments, read/close/stat, and changed-plus-close-failure cases, and the overflow regression is source-guarded, while complete CVD/service parity, sanitizer, materialized large-file, Sonic1, and release qualification remain required
library	hash-stream-read-close	pending	libclamav/others.c	cli_hashstream refuses to publish a digest after fread reports an input error, and cli_hashfile rejects fclose failure and releases a computed digest; the current-source production-link fault-injection case covers injected hash read and source-close failures, while complete CVD/service parity, sanitizer, materialized large-file, Sonic1, and release qualification remain required
library	limits	bounded	libclamav/others.c	logical-size, matcher-work, contiguous, temporary, recursion, and file-count admissions remain fail-visible; the established 32-bit scanned-file counter now stops at its native ceiling with an explicit resource-incomplete result instead of wrapping; structured-report metadata and JSON node allocations are sticky and fail with CL_EMEM rather than publishing a partial report, report logical/file/parser/detector counters saturate instead of wrapping, JSON uses unsigned integer objects for 64-bit counters, and unrepresentable legacy json-c values are refused instead of emitted as negative numbers; USE_MPOOL calloc now rejects zero operands and nmemb * size products that cannot fit in size_t before multiplication, and mpool_malloc now rejects fragment-overhead and alignment additions that cannot fit before fragment classification; the modified allocator and matcher test source pass Docker production-GCC syntax checks with USE_MPOOL, and the isolated current allocator harnesses print mpool_count_product_rejected and mpool_malloc_size_wrap_rejected; daemon startup admission normalizes explicit zero StreamMaxLength and OnAccessMaxFileSize values to the certified 32-GiB front-end ceiling before resource checks, requires RLIMIT_FSIZE to represent the maximum ingress, rejects tmpfs/ramfs staging, enforces MaxThreads=1 because the admitted resource budget covers one active scan, and resolves v1/v2 cgroup membership plus visible ancestor headroom instead of assuming hierarchy-root files; complete production qualification remains required
library	scan-temp-setup	bounded	libclamav/scanners.c	top-level and recursive scan temporary-directory allocation and creation failures mark the required scan incomplete before cleanup; compiled fault injection and production qualification remain required
library	dispatch-status-init	bounded	libclamav/scanners.c	cli_magic_scan initializes its conditional parser result to CL_SUCCESS before parser switch passes; the current-source production-linked dispatch_status fixture passes 1/1 for disabled archive/document branches, while the existing OneNote dynamic-configuration regression covers disabled and enabled dispatch paths; complete dispatch-matrix, sanitizer, production-CVD/service, materialized large-file, Sonic1, and final release qualification remain required
